Epoch 149/1000, Train Loss: 0.0870, Train Accuracy: 0.8786, Train F1: 0.8721, Validation Loss: 0.0779, Validation Accuracy: 0.8955, Validation F1: 0.8908
Epoch 150/1000, Train Loss: 0.0870, Train Accuracy: 0.8787, Train F1: 0.8723, Validation Loss: 0.0780, Validation Accuracy: 0.8924, Validation F1: 0.8879
Epoch 151/1000, Train Loss: 0.0867, Train Accuracy: 0.8798, Train F1: 0.8733, Validation Loss: 0.0776, Validation Accuracy: 0.8929, Validation F1: 0.8885
Epoch 152/1000, Train Loss: 0.0869, Train Accuracy: 0.8767, Train F1: 0.8704, Validation Loss: 0.0779, Validation Accuracy: 0.8953, Validation F1: 0.8908
Epoch 153/1000, Train Loss: 0.0860, Train Accuracy: 0.8794, Train F1: 0.8730, Validation Loss: 0.0779, Validation Accuracy: 0.8941, Validation F1: 0.8899
Epoch 154/1000, Train Loss: 0.0872, Train Accuracy: 0.8763, Train F1: 0.8695, Validation Loss: 0.0777, Validation Accuracy: 0.8941, Validation F1: 0.8898
Epoch 155/1000, Train Loss: 0.0863, Train Accuracy: 0.8810, Train F1: 0.8748, Validation Loss: 0.0775, Validation Accuracy: 0.8957, Validation F1: 0.8913
Epoch 156/1000, Train Loss: 0.0857, Train Accuracy: 0.8803, Train F1: 0.8740, Validation Loss: 0.0777, Validation Accuracy: 0.8946, Validation F1: 0.8897
Epoch 157/1000, Train Loss: 0.0860, Train Accuracy: 0.8785, Train F1: 0.8719, Validation Loss: 0.0776, Validation Accuracy: 0.8936, Validation F1: 0.8895
Epoch 158/1000, Train Loss: 0.0858, Train Accuracy: 0.8783, Train F1: 0.8717, Validation Loss: 0.0777, Validation Accuracy: 0.8946, Validation F1: 0.8897
Epoch 159/1000, Train Loss: 0.0865, Train Accuracy: 0.8802, Train F1: 0.8738, Validation Loss: 0.0775, Validation Accuracy: 0.8957, Validation F1: 0.8909
Epoch 160/1000, Train Loss: 0.0847, Train Accuracy: 0.8820, Train F1: 0.8757, Validation Loss: 0.0773, Validation Accuracy: 0.8948, Validation F1: 0.8903
